algo,thresh,case,coeff
NNLSFusionR16,ThresholdedMasks,"023_NA3_002",0.95106703
NNLSFusionR16,ThresholdedMasks,"023_NAA_007",0.9503532
NNLSFusionR16,ThresholdedMasks,"016_NAA_011",0.9531937
NNLSFusionR16,ThresholdedMasks,"017_MPG_005",0.9761161
NNLSFusionR16,ThresholdedMasks,"017_NA3_056",0.97324646
NNLSFusionR16,ThresholdedMasks,"017_NA3_038",0.97353035
NNLSFusionR16,ThresholdedMasks,"016_NA3_027",0.9805377
NNLSFusionR16,ThresholdedMasks,"015_NAA_002",0.97009695
NNLSFusionR16,ThresholdedMasks,"023_PET_007-time1",0.95383316
NNLSFusionR16,ThresholdedMasks,"015_NA3_017",0.9542761
NNLSFusionR16,ThresholdedMasks,"015_NA3_006",0.97536534
NNLSFusionR16,UnThresholdedMasks,"017_NA3_040",0.97426206
NNLSFusionR16,UnThresholdedMasks,"015_NAA_006",0.9729525
NNLSFusionR16,UnThresholdedMasks,"019_NA3_010",0.97794425
NNLSFusionR16,UnThresholdedMasks,"019_NAA_029",0.94943184
NNLSFusionR16,UnThresholdedMasks,"015_MPG_002",0.9749533
NNLSFusionR16,UnThresholdedMasks,"019_NAA_014",0.97234255
NNLSFusionR16,UnThresholdedMasks,"008_TMS_011",0.955821
NNLSFusionR16,UnThresholdedMasks,"023_NA3_039",0.9459561
NNLSFusionR16,UnThresholdedMasks,"003_GNX_013",0.96279025
NNLSFusionR16,UnThresholdedMasks,"023_NA3_002",0.95106703
NNLSFusionR16,UnThresholdedMasks,"023_NAA_007",0.9503532
NNLSFusionR16,UnThresholdedMasks,"016_NAA_011",0.9531937
NNLSFusionR16,UnThresholdedMasks,"017_MPG_005",0.9761161
NNLSFusionR16,UnThresholdedMasks,"017_NA3_056",0.97324646
NNLSFusionR16,UnThresholdedMasks,"017_NA3_038",0.97353035
NNLSFusionR16,UnThresholdedMasks,"016_NA3_027",0.9805377
NNLSFusionR16,UnThresholdedMasks,"015_NAA_002",0.97009695
NNLSFusionR16,UnThresholdedMasks,"023_PET_007-time1",0.95383316
NNLSFusionR16,UnThresholdedMasks,"015_NA3_017",0.9542761
NNLSFusionR16,UnThresholdedMasks,"015_NA3_006",0.97536534
